file,min_altitude_m,max_altitude_m,mean_altitude_m,centroid_x_l93,centroid_y_l93,centroid_lon,centroid_lat,xmin_l93,ymin_l93,xmax_l93,ymax_l93,valid_pixels,nodata_pixels
RGEALTI_FXX_0647_6861_MNT_LAMB93_IGN69.asc,27.780000686645508,34.869998931884766,32.016815185546875,647499.5,6860500.5,2.284663362006541,48.842412254132064,646999.5,6860000.5,647999.5,6861000.5,1000000,0
RGEALTI_FXX_0647_6862_MNT_LAMB93_IGN69.asc,22.010000228881836,57.130001068115234,32.0309944152832,647499.5,6861500.5,2.284539909517866,48.8514051724101,646999.5,6861000.5,647999.5,6862000.5,1000000,0
RGEALTI_FXX_0647_6863_MNT_LAMB93_IGN69.asc,26.34000015258789,71.55999755859375,53.08870315551758,647499.5,6862500.5,2.2844164144122474,48.86039801786258,646999.5,6862000.5,647999.5,6863000.5,1000000,0
RGEALTI_FXX_0647_6864_MNT_LAMB93_IGN69.asc,40.279998779296875,67.8499984741211,55.27623748779297,647499.5,6863500.5,2.284292876667615,48.869390790259715,646999.5,6863000.5,647999.5,6864000.5,1000000,0
RGEALTI_FXX_0647_6865_MNT_LAMB93_IGN69.asc,27.350000381469727,55.68000030517578,39.52984619140625,647499.5,6864500.5,2.284169296261884,48.87838348937165,646999.5,6864000.5,647999.5,6865000.5,1000000,0
RGEALTI_FXX_0647_6866_MNT_LAMB93_IGN69.asc,26.030000686645508,41.20000076293945,33.530967712402344,647499.5,6865500.5,2.28404567317295,48.88737611496857,646999.5,6865000.5,647999.5,6866000.5,1000000,0
RGEALTI_FXX_0648_6859_MNT_LAMB93_IGN69.asc,51.61000061035156,77.04000091552734,64.03633117675781,648499.5,6858500.5,2.298530045198983,48.82450686881415,647999.5,6858000.5,648999.5,6859000.5,1000000,0
RGEALTI_FXX_0648_6860_MNT_LAMB93_IGN69.asc,33.189998626708984,66.80999755859375,51.48614501953125,648499.5,6859500.5,2.2984090273348508,48.83349994532355,647999.5,6859000.5,648999.5,6860000.5,1000000,0
RGEALTI_FXX_0648_6861_MNT_LAMB93_IGN69.asc,30.020000457763672,49.93000030517578,36.228580474853516,648499.5,6860500.5,2.2982879677085166,48.84249294946943,647999.5,6860000.5,648999.5,6861000.5,1000000,0
RGEALTI_FXX_0648_6862_MNT_LAMB93_IGN69.asc,27.809999465942383,37.90999984741211,34.75304412841797,648499.5,6861500.5,2.29816686629836,48.85148588102203,647999.5,6861000.5,648999.5,6862000.5,1000000,0
RGEALTI_FXX_0648_6863_MNT_LAMB93_IGN69.asc,25.670000076293945,54.470001220703125,33.144840240478516,648499.5,6862500.5,2.2980457230827445,48.86047873975161,647999.5,6862000.5,648999.5,6863000.5,1000000,0
RGEALTI_FXX_0648_6864_MNT_LAMB93_IGN69.asc,29.18000030517578,68.0999984741211,49.49142074584961,648499.5,6863500.5,2.29792453804002,48.869471525428374,647999.5,6863000.5,648999.5,6864000.5,1000000,0
RGEALTI_FXX_0648_6865_MNT_LAMB93_IGN69.asc,30.200000762939453,58.869998931884766,42.67007064819336,648499.5,6864500.5,2.2978033111485217,48.87846423782246,647999.5,6864000.5,648999.5,6865000.5,1000000,0
RGEALTI_FXX_0648_6866_MNT_LAMB93_IGN69.asc,28.469999313354492,41.779998779296875,35.547584533691406,648499.5,6865500.5,2.297682042386567,48.88745687670404,647999.5,6865000.5,648999.5,6866000.5,1000000,0
RGEALTI_FXX_0648_6867_MNT_LAMB93_IGN69.asc,23.84000015258789,39.43000030517578,33.03294372558594,648499.5,6866500.5,2.297560731732462,48.8964494418432,647999.5,6866000.5,648999.5,6867000.5,1000000,0
